Gene	TRS+DOM.A.4.15.1.B9	TRS+DOM.A.4.16.1.B10	TRS+DOM.A.5.12.1.C8	Min	Max	Median	Mean	Std
AKAP9	797	164	52	52	797	164	337.666666666667	401.716732702701
AKIP1	96	19	6	6	96	19	40.3333333333333	48.6449723335653
AKIRIN1	102	21	9	9	102	21	44	50.586559479767
AKIRIN2	58	6	6	6	58	6	23.3333333333333	30.0222139978605
AKNA	19	3	2	2	19	3	8	9.53939201416946
AKNAD1	0	0	0	0	0	0	0	0
AKR1A1	1074	192	86	86	1074	192	450.666666666667	542.418042964403
AKR1B1	733	162	53	53	733	162	316	365.221850386857
AKR1B10	17	1	3	1	17	3	7	8.71779788708135
AKR1B15	0	0	0	0	0	0	0	0
AKR1C1	88	22	12	12	88	22	40.6666666666667	41.2956817758629
AKR1C2	29	8	3	3	29	8	13.3333333333333	13.7961347243833
AKR1C3	826	143	67	67	826	143	345.333333333333	418.000398723893
AKR1C6P	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AKR1D1	19	2	3	2	19	3	8	9.53939201416946
AKR1E2	3	3	0	0	3	3	2	1.73205080756888
AKR7A2	641	106	42	42	641	106	263	328.917922892627
AKR7A2P1	0	0	0	0	0	0	0	0
AKR7A3	5	1	0	0	5	1	2	2.64575131106459
AKR7L	4	0	0	0	4	0	1.33333333333333	2.3094010767585
AKT1	50	9	4	4	50	9	21	25.2388589282479
AKT1S1	31	7	0	0	31	7	12.6666666666667	16.2583311976763
AKT2	28	5	3	3	28	5	12	13.8924439894498
AKT3	156	46	21	21	156	46	74.3333333333333	71.8215380880508
AKTIP	229	25	24	24	229	25	92.6666666666667	118.069188755294
ALAD	133	33	15	15	133	33	60.3333333333333	63.5714820759539
ALAS1	308	37	21	21	308	37	122	161.279260911005
ALAS2	0	0	0	0	0	0	0	0
ALCAM	202	52	20	20	202	52	91.3333333333333	97.1665237277393
ALDH16A1	4	1	3	1	4	3	2.66666666666667	1.52752523165195
ALDH18A1	343	68	20	20	343	68	143.666666666667	174.288075706095
ALDH1A1	11	7	0	0	11	7	6	5.56776436283002
ALDH1A2	13	5	0	0	13	5	6	6.557438524302
ALDH1A3	6	4	2	2	6	4	4	2
ALDH1B1	80	18	15	15	80	18	37.6666666666667	36.6924152016917
ALDH1L1	0	0	0	0	0	0	0	0
ALDH1L1-AS1	0	0	0	0	0	0	0	0
ALDH1L2	343	71	25	25	343	71	146.333333333333	171.86428754495
ALDH2	105	27	14	14	105	27	48.6666666666667	49.2172056636024
ALDH3A2	104	29	11	11	104	29	48	49.3254498205541
ALDH3B1	41	15	4	4	41	15	20	19
ALDH4A1	4	0	0	0	4	0	1.33333333333333	2.3094010767585
ALDH5A1	12	5	0	0	12	5	5.66666666666667	6.02771377334171
ALDH6A1	292	65	25	25	292	65	127.333333333333	144.001157402756
ALDH7A1	331	49	17	17	331	49	132.333333333333	172.792746761354
ALDH8A1	9	2	1	1	9	2	4	4.35889894354067
ALDH9A1	487	86	36	36	487	86	203	247.218526813829
ALDOA	8466	1525	528	528	8466	1525	3506.33333333333	4324.02848433418
ALDOC	151	18	11	11	151	18	60	78.8859936870925
ALG1	33	8	4	4	33	8	15	15.7162336455017
ALG10	14	3	2	2	14	3	6.33333333333333	6.65832811847939
ALG10B	27	8	2	2	27	8	12.3333333333333	13.0511813003013
ALG11	40	3	3	3	40	3	15.3333333333333	21.3619599600162
ALG12	35	4	1	1	35	4	13.3333333333333	18.8237438713273
ALG13	240	43	18	18	240	43	100.333333333333	121.599067978884
ALG14	344	51	21	21	344	51	138.666666666667	178.455409930137
ALG1L	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ALG1L2	0	0	0	0	0	0	0	0
ALG1L9P	7	4	0	0	7	4	3.66666666666667	3.51188458428425
ALG2	101	16	4	4	101	16	40.3333333333333	52.880368127816
ALG3	133	26	7	7	133	26	55.3333333333333	67.9288843816335
ALG5	819	122	45	45	819	122	328.666666666667	426.382848310451
ALG6	48	10	3	3	48	10	20.3333333333333	24.214320831552
ALG8	436	75	28	28	436	75	179.666666666667	223.231568854706
ALG9	71	13	5	5	71	13	29.6666666666667	36.0185137579736
ALK	3	0	0	0	3	0	1	1.73205080756888
ALKBH1	56	8	2	2	56	8	22	29.5972971738975
ALKBH2	129	18	12	12	129	18	53	65.8862656401165
ALKBH3	62	9	8	8	62	9	26.3333333333333	30.8922859842604
ALKBH3-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ALKBH4	56	10	2	2	56	10	22.6666666666667	29.1433239925259
ALKBH5	335	79	22	22	335	79	145.333333333333	166.710327614498
ALKBH6	3	0	0	0	3	0	1	1.73205080756888
ALKBH7	157	21	4	4	157	21	60.6666666666667	83.8590086593762
ALKBH8	63	12	8	8	63	12	27.6666666666667	30.6648550189518
ALMS1	32	6	1	1	32	6	13	16.6433169770932
ALMS1P	0	0	0	0	0	0	0	0
ALOX12	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ALOX12B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ALOX12P2	0	0	0	0	0	0	0	0
ALOX15	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ALOX15B	0	0	0	0	0	0	0	0
ALOX5AP	84	18	4	4	84	18	35.3333333333333	42.7239199200323
ALOXE3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ALPK1	74	11	5	5	74	11	30	38.2230297072328
ALPK2	235	39	20	20	235	39	98	119.025207414228
ALPK3	3	2	0	0	3	2	1.66666666666667	1.52752523165195
ALPL	0	0	0	0	0	0	0	0
ALPP	14	1	0	0	14	1	5	7.81024967590665
ALS2	73	20	9	9	73	20	34	34.2198772645373
ALS2CL	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ALS2CR11	28	6	2	2	28	6	12	14
ALS2CR12	5	0	0	0	5	0	1.66666666666667	2.88675134594813
ALX1	0	0	0	0	0	0	0	0
ALX3	0	0	0	0	0	0	0	0
ALX4	0	0	0	0	0	0	0	0
ALYREF	16	5	2	2	16	5	7.66666666666667	7.37111479583199
AMACR	5	2	0	0	5	2	2.33333333333333	2.51661147842358
AMBP	0	0	0	0	0	0	0	0
AMBRA1	18	6	1	1	18	6	8.33333333333333	8.7368949480541
AMD1	228	41	15	15	228	41	94.6666666666667	116.199541020321
AMDHD1	0	0	0	0	0	0	0	0
AMDHD2	6	0	2	0	6	2	2.66666666666667	3.05505046330389
AMELX	0	0	0	0	0	0	0	0
AMER1	1	2	0	0	2	1	1	1
AMER3	0	0	0	0	0	0	0	0
AMFR	234	77	23	23	234	77	111.333333333333	109.609914393422
AMH	1	1	0	0	1	1	0.666666666666667	0.577350269189626
AMICA1	0	0	0	0	0	0	0	0
AMIGO1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AMIGO2	213	41	24	24	213	41	92.6666666666667	104.557799007694
AMIGO3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AMMECR1	45	9	0	0	45	9	18	23.8117617995813
AMMECR1L	53	6	1	1	53	6	20	28.6879765755621
AMN	0	0	0	0	0	0	0	0
AMN1	143	19	14	14	143	19	58.6666666666667	73.0775843424872
AMOT	7	0	1	0	7	1	2.66666666666667	3.78593889720018
AMOTL1	151	42	9	9	151	42	67.3333333333333	74.3124036304393
AMPD2	44	12	7	7	44	12	21	20.0748598998847
AMPD3	0	0	0	0	0	0	0	0
AMPH	0	0	0	0	0	0	0	0
AMT	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AMTN	0	0	0	0	0	0	0	0
AMY2B	4	2	0	0	4	2	2	2
AMZ1	2	1	0	0	2	1	1	1
AMZ2	661	102	39	39	661	102	267.333333333333	342.377472000325
AMZ2P1	241	47	21	21	241	47	103	120.21647141719
ANAPC1	23	7	3	3	23	7	11	10.5830052442584
ANAPC10	273	52	19	19	273	52	114.666666666667	138.109859652862
ANAPC11	4457	714	263	263	4457	714	1811.33333333333	2302.28458999606
ANAPC13	1239	202	82	82	1239	202	507.666666666667	636.188913243019
ANAPC15	128	19	9	9	128	19	52	66.007575322837
ANAPC16	1679	270	106	106	1679	270	685	864.725968154074
ANAPC1P1	2	1	0	0	2	1	1	1
ANAPC2	3	0	0	0	3	0	1	1.73205080756888
ANAPC4	41	10	3	3	41	10	18	20.2237484161567
ANAPC5	662	124	35	35	662	124	273.666666666667	339.237871313527
ANAPC7	95	18	11	11	95	18	41.3333333333333	46.6082968293558
ANG	373	62	28	28	373	62	154.333333333333	190.132410002433
ANGEL1	14	2	2	2	14	2	6	6.92820323027551
ANGEL2	79	14	9	9	79	14	34	39.0512483795333
ANGPT1	353	53	29	29	353	53	145	180.532545542348
ANGPT2	22	8	0	0	22	8	10	11.13552872566
ANGPT4	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ANGPTL1	216	32	10	10	216	32	86	113.119405939034
ANGPTL2	77	23	7	7	77	23	35.6666666666667	36.6787858759438
ANGPTL3	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ANGPTL4	496	98	29	29	496	98	207.666666666667	252.076046726644
ANGPTL5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ANGPTL6	0	0	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0	0	0
ANHX	0	0	0	0	0	0	0	0
ANK1	0	0	0	0	0	0	0	0
ANK2	74	10	5	5	74	10	29.6666666666667	38.4751001731423
ANK3	263	84	26	26	263	84	124.333333333333	123.540816467001
ANKAR	17	4	1	1	17	4	7.33333333333333	8.50490054811538
ANKDD1A	5	1	1	1	5	1	2.33333333333333	2.3094010767585
ANKDD1B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ANKEF1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ANKFY1	122	37	14	14	122	37	57.6666666666667	56.888780381841
ANKH	144	41	13	13	144	41	66	68.9855057240287
ANKHD1	33	8	3	3	33	8	14.6666666666667	16.0727512683216
ANKHD1-EIF4EBP3	0	0	0	0	0	0	0	0
ANKIB1	134	44	17	17	134	44	65	61.2617335699864
ANKK1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ANKLE1	20	2	1	1	20	2	7.66666666666667	10.6926766215636
ANKLE2	78	25	7	7	78	25	36.6666666666667	36.909799963334
ANKMY1	0	0	0	0	0	0	0	0
ANKMY2	184	31	13	13	184	31	76	93.962758580195
ANKRA2	133	25	19	19	133	25	59	64.1560597293818
ANKRD1	855	141	73	73	855	141	356.333333333333	433.194336681972
ANKRD10	77	20	7	7	77	20	34.6666666666667	37.233497463082
ANKRD11	2532	397	157	157	2532	397	1028.66666666667	1307.44343408552
ANKRD12	812	117	55	55	812	117	328	420.301082558682
ANKRD13A	103	24	8	8	103	24	45	50.8625599041181
ANKRD13B	4	1	2	1	4	2	2.33333333333333	1.52752523165195
ANKRD13C	88	16	1	1	88	16	35	46.5080638169339
ANKRD13D	12	2	0	0	12	2	4.66666666666667	6.42910050732864
ANKRD16	17	8	3	3	17	8	9.33333333333333	7.09459888459759
ANKRD17	190	53	27	27	190	53	90	87.5728268357257
ANKRD18A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ANKRD18B	3	0	0	0	3	0	1	1.73205080756888
ANKRD18DP	0	0	0	0	0	0	0	0
ANKRD19P	6	2	1	1	6	2	3	2.64575131106459
ANKRD2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ANKRD20A12P	34	1	6	1	34	6	13.6666666666667	17.7857620959388
ANKRD20A19P	2	2	0	0	2	2	1.33333333333333	1.15470053837925
ANKRD20A3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ANKRD20A5P	0	0	0	0	0	0	0	0
ANKRD20A8P	0	0	0	0	0	0	0	0
ANKRD20A9P	96	24	9	9	96	24	43	46.5080638169339
ANKRD22	3	0	0	0	3	0	1	1.73205080756888
ANKRD23	0	0	0	0	0	0	0	0
ANKRD24	2	0	1	0	2	1	1	1
ANKRD26	111	19	9	9	111	19	46.3333333333333	56.2257355072687
ANKRD27	25	7	2	2	25	7	11.3333333333333	12.0968315410827
ANKRD28	60	13	7	7	60	13	26.6666666666667	29.022979401387
ANKRD29	5	0	0	0	5	0	1.66666666666667	2.88675134594813
ANKRD30A	0	0	0	0	0	0	0	0
ANKRD30B	3	0	0	0	3	0	1	1.73205080756888
ANKRD30BP2	13	2	1	1	13	2	5.33333333333333	6.65832811847939
ANKRD31	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ANKRD32	59	7	0	0	59	7	22	32.2335229225724
ANKRD33B	9	2	2	2	9	2	4.33333333333333	4.04145188432738
ANKRD34A	2	1	0	0	2	1	1	1
ANKRD35	21	7	3	3	21	7	10.3333333333333	9.45163125250522
ANKRD36	160	31	4	4	160	31	65	83.3726573883788
ANKRD36B	145	25	14	14	145	25	61.3333333333333	72.665902136651
ANKRD36BP1	73	9	11	9	73	11	31	36.3868107973205
ANKRD36BP2	0	0	0	0	0	0	0	0
ANKRD37	57	8	4	4	57	8	23	29.5127091267474
ANKRD39	62	9	1	1	62	9	24	33.1511689085016
ANKRD40	187	41	8	8	187	41	78.6666666666667	95.2592952594829
ANKRD42	45	6	1	1	45	6	17.3333333333333	24.0901086202062
ANKRD44	129	18	10	10	129	18	52.3333333333333	66.5156623159789
ANKRD45	3	3	0	0	3	3	2	1.73205080756888
ANKRD46	87	14	3	3	87	14	34.6666666666667	45.6544995956952
ANKRD49	155	18	6	6	155	18	59.6666666666667	82.7788217682116
ANKRD50	92	29	10	10	92	29	43.6666666666667	42.9224106188519
ANKRD52	15	1	0	0	15	1	5.33333333333333	8.38649708360608
ANKRD53	0	0	0	0	0	0	0	0
ANKRD54	23	9	1	1	23	9	11	11.13552872566
ANKRD55	17	4	0	0	17	4	7	8.88819441731559
ANKRD6	47	12	5	5	47	12	21.3333333333333	22.5018517756502
ANKRD61	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ANKRD62	17	3	2	2	17	3	7.33333333333333	8.38649708360608
ANKRD62P1-PARP4P3	3	0	0	0	3	0	1	1.73205080756888
ANKRD65	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ANKRD7	10	5	1	1	10	5	5.33333333333333	4.50924975282289
ANKRD9	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ANKS1A	22	3	2	2	22	3	9	11.2694276695846
ANKS1B	0	0	0	0	0	0	0	0
ANKS3	33	3	1	1	33	3	12.3333333333333	17.925772879665
ANKS4B	23	6	3	3	23	6	10.6666666666667	10.785793124909
ANKS6	19	8	1	1	19	8	9.33333333333333	9.07377172587747
ANKZF1	35	5	3	3	35	5	14.3333333333333	17.925772879665
ANLN	5	0	2	0	5	2	2.33333333333333	2.51661147842358
ANO1	4	2	0	0	4	2	2	2
ANO10	50	6	2	2	50	6	19.3333333333333	26.6333124739176
ANO2	0	0	0	0	0	0	0	0
ANO3	1	2	0	0	2	1	1	1
ANO4	0	0	0	0	0	0	0	0
ANO5	0	0	0	0	0	0	0	0
ANO6	157	45	11	11	157	45	71	76.3937170191371
ANO7	10	0	1	0	10	1	3.66666666666667	5.5075705472861
ANO8	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ANP32A	266	43	23	23	266	43	110.666666666667	134.89378537699
ANP32A-IT1	28	5	0	0	28	5	11	14.9331845230681
ANP32AP1	0	0	0	0	0	0	0	0
ANP32B	420	77	46	46	420	77	181	207.55962998618
ANP32C	0	0	0	0	0	0	0	0
ANP32E	996	171	81	81	996	171	416	504.306454450069
ANPEP	9	2	0	0	9	2	3.66666666666667	4.72581562625261
ANTXR1	399	133	35	35	399	133	189	188.350736659032
ANTXR2	371	86	39	39	371	86	165.333333333333	179.656153062825
ANXA1	13434	2040	700	700	13434	2040	5391.33333333333	6997.30414755092
ANXA10	3	0	0	0	3	0	1	1.73205080756888
ANXA11	88	30	12	12	88	30	43.3333333333333	39.7156560229506
ANXA13	0	0	0	0	0	0	0	0
ANXA2	18686	3054	1080	1080	18686	3054	7606.66666666667	9645.61503136702
ANXA2P1	0	0	0	0	0	0	0	0
ANXA2P2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ANXA2R	67	10	3	3	67	10	26.6666666666667	35.1046055857822
ANXA3	90	13	4	4	90	13	35.6666666666667	47.2687352626801
ANXA4	1131	199	79	79	1131	199	469.666666666667	575.865725089915
ANXA5	31193	5154	1873	1873	31193	5154	12740	16064.7485819106
ANXA6	447	125	47	47	447	125	206.333333333333	212.040876562358
ANXA7	1361	235	74	74	1361	235	556.666666666667	701.209193702802
ANXA8L2	0	0	0	0	0	0	0	0
ANXA9	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AOAH	0	0	0	0	0	0	0	0
AOC2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AOC3	0	0	0	0	0	0	0	0
AOC4P	3	0	0	0	3	0	1	1.73205080756888
AOX1	2	4	1	1	4	2	2.33333333333333	1.52752523165195
AOX2P	0	0	0	0	0	0	0	0
AP1AR	96	12	7	7	96	12	38.3333333333333	50.0033332222296
AP1B1	26	3	4	3	26	4	11	13
AP1B1P1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AP1G1	275	60	17	17	275	60	117.333333333333	138.225660907566
AP1G2	23	2	2	2	23	2	9	12.1243556529821
AP1M1	43	6	4	4	43	6	17.6666666666667	21.9620885467055
AP1M2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AP1S1	15	2	2	2	15	2	6.33333333333333	7.50555349946513
AP1S2	49	17	5	5	49	17	23.6666666666667	22.7449628123093
AP1S3	46	12	4	4	46	12	20.6666666666667	22.300971578237
AP2A1	7	0	1	0	7	1	2.66666666666667	3.78593889720018
AP2A2	45	11	4	4	45	11	20	21.9317121994613
AP2B1	307	60	24	24	307	60	130.333333333333	154.053021175611
AP2M1	629	120	46	46	629	120	265	317.397227461111
AP2S1	963	158	73	73	963	158	398	491.146617620441
AP3B1	381	77	22	22	381	77	160	193.357182437064
AP3B2	0	0	0	0	0	0	0	0
AP3D1	125	41	16	16	125	41	60.6666666666667	57.0993286592175
AP3M1	281	43	18	18	281	43	114	145.165422880244
AP3M2	112	19	5	5	112	19	45.3333333333333	58.1578312296232
AP3S1	758	146	45	45	758	146	316.333333333333	385.81385839979
AP3S2	41	6	4	4	41	6	17	20.8086520466848
AP4B1	84	14	3	3	84	14	33.6666666666667	43.9355588712985
AP4B1-AS1	22	3	1	1	22	3	8.66666666666667	11.5902257671425
AP4E1	112	20	8	8	112	20	46.6666666666667	56.8975687822717
AP4M1	24	7	4	4	24	7	11.6666666666667	10.785793124909
AP4S1	112	21	8	8	112	21	47	56.6656862660288
AP5B1	24	4	0	0	24	4	9.33333333333333	12.8582010146573
AP5M1	193	31	14	14	193	31	79.3333333333333	98.8045208142488
AP5S1	67	17	6	6	67	17	30	32.5115364140177
AP5Z1	25	6	0	0	25	6	10.3333333333333	13.0511813003013
APAF1	72	14	14	14	72	14	33.3333333333333	33.4863156129983
APBA1	9	2	1	1	9	2	4	4.35889894354067
APBA2	4	0	0	0	4	0	1.33333333333333	2.3094010767585
APBA3	7	0	0	0	7	0	2.33333333333333	4.04145188432738
APBB1	41	9	2	2	41	9	17.3333333333333	20.7926268983343
APBB1IP	7	1	2	1	7	2	3.33333333333333	3.21455025366432
APBB2	216	50	23	23	216	50	96.3333333333333	104.509967626697
APBB3	7	1	1	1	7	1	3	3.46410161513775
APC	275	62	22	22	275	62	119.666666666667	136.001225484675
APC2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
APCDD1	0	0	0	0	0	0	0	0
APCDD1L	24	3	0	0	24	3	9	13.076696830622
APCDD1L-AS1	21	6	0	0	21	6	9	10.816653826392
APEH	58	8	2	2	58	8	22.6666666666667	30.7462734869339
APEX1	1027	148	73	73	1027	148	416	530.468660714278
APEX2	96	21	7	7	96	21	41.3333333333333	47.85742714912
APH1A	110	21	10	10	110	21	47	54.8361194834208
APH1B	139	35	8	8	139	35	60.6666666666667	69.1688754667396
API5	422	85	34	34	422	85	180.333333333333	210.837219990526
APIP	265	46	13	13	265	46	108	136.963498787086
APITD1	112	17	7	7	112	17	45.3333333333333	57.9511288357124
APITD1-CORT	9	1	0	0	9	1	3.33333333333333	4.93288286231625
APLF	9	2	4	2	9	4	5	3.60555127546399
APLN	5	1	1	1	5	1	2.33333333333333	2.3094010767585
APLP1	20	10	6	6	20	10	12	7.21110255092798
APLP2	901	184	71	71	901	184	385.333333333333	450.14034848404
APMAP	107	29	10	10	107	29	48.6666666666667	51.4036315189242
APOA1	5	3	0	0	5	3	2.66666666666667	2.51661147842358
APOA1BP	122	23	6	6	122	23	50.3333333333333	62.6444996255324
APOB	0	0	0	0	0	0	0	0
APOBEC2	0	0	0	0	0	0	0	0
APOBEC3A	43	7	6	6	43	7	18.6666666666667	21.0792156716832
APOBEC3B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
APOBEC3C	341	48	30	30	341	48	139.666666666667	174.59190511972
APOBEC3D	44	2	4	2	44	4	16.6666666666667	23.6924741918891
APOBEC3F	27	5	4	4	27	5	12	13
APOBEC3G	24	3	3	3	24	3	10	12.1243556529821
APOBEC3H	2	0	0	0	2	0	0.666666666666667	1.15470053837925
APOBEC4	0	0	0	0	0	0	0	0
APOBR	0	1	0	0	1	0	0.333333333333333	0.577350269189626
APOC1	12	7	1	1	12	7	6.66666666666667	5.5075705472861
APOC1P1	23	3	1	1	23	3	9	12.1655250605964
APOC4	0	0	0	0	0	0	0	0
APOD	132	24	13	13	132	24	56.3333333333333	65.7596634216853
APOE	14	9	0	0	14	9	7.66666666666667	7.09459888459759
APOF	0	0	0	0	0	0	0	0
APOH	0	0	0	0	0	0	0	0
APOL1	285	55	20	20	285	55	120	143.96180048888
APOL2	327	67	22	22	327	67	138.666666666667	164.646085083531
APOL3	13	9	1	1	13	9	7.66666666666667	6.11010092660779
APOL4	4	0	0	0	4	0	1.33333333333333	2.3094010767585
APOL6	207	41	17	17	207	41	88.3333333333333	103.466580755978
APOLD1	22	4	3	3	22	4	9.66666666666667	10.6926766215636
APOM	44	12	1	1	44	12	19	22.3383079036887
APOO	202	32	14	14	202	32	82.6666666666667	103.73684655576
APOOL	209	50	16	16	209	50	91.6666666666667	103.025886714618
APOPT1	369	66	28	28	369	66	154.333333333333	186.875181159332
APP	662	167	69	69	662	167	299.333333333333	317.877859142994
APPBP2	173	40	13	13	173	40	75.3333333333333	85.6523982929453
APPL1	281	50	24	24	281	50	118.333333333333	141.472023147099
APPL2	115	21	9	9	115	21	48.3333333333333	58.045958802774
APRT	607	110	47	47	607	110	254.666666666667	306.751256449478
APTX	259	55	19	19	259	55	111	129.429517498908
AQP1	20	3	1	1	20	3	8	10.4403065089106
AQP10	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AQP11	2	0	0	0	2	0	0.666666666666667	1.15470053837925
AQP3	7	1	0	0	7	1	2.66666666666667	3.78593889720018
AQP4	0	0	0	0	0	0	0	0
AQP4-AS1	11	1	0	0	11	1	4	6.08276253029822
AQP6	18	4	0	0	18	4	7.33333333333333	9.45163125250522
AQP7	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AQP7P1	0	0	0	0	0	0	0	0
AQP7P3	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AQP8	0	0	0	0	0	0	0	0
AQP9	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AQPEP	0	0	0	0	0	0	0	0
AQR	83	17	7	7	83	17	35.6666666666667	41.2956817758629
AR	15	7	5	5	15	7	9	5.29150262212918
ARAF	69	18	8	8	69	18	31.6666666666667	32.7159492195066
ARAP1	23	10	4	4	23	10	12.3333333333333	9.71253485622231
ARAP2	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ARAP3	8	4	1	1	8	4	4.33333333333333	3.51188458428425
ARC	0	0	0	0	0	0	0	0
ARCN1	519	110	56	56	519	110	228.333333333333	253.168586782273
AREG	0	0	0	0	0	0	0	0
AREL1	53	23	2	2	53	23	26	25.6320112359526
ARF1	858	135	49	49	858	135	347.333333333333	444.335833951453
ARF3	93	26	16	16	93	26	45	41.8688428309166
ARF4	9132	1456	507	507	9132	1456	3698.33333333333	4729.55603977089
ARF5	181	48	16	16	181	48	81.6666666666667	87.5004761891804
ARF6	261	52	27	27	261	52	113.333333333333	128.492541936617
ARFGAP1	50	6	3	3	50	6	19.6666666666667	26.3122278291545
ARFGAP2	104	21	7	7	104	21	44	52.4309069156733
ARFGAP3	931	164	48	48	931	164	381	479.83226235842
ARFGEF1	54	19	11	11	54	19	28	22.8691932520585
ARFGEF2	76	14	3	3	76	14	31	39.3573373083089
ARFIP1	335	46	30	30	335	46	137	171.659546777917
ARFIP2	73	21	6	6	73	21	33.3333333333333	35.1615320106126
ARFRP1	21	6	0	0	21	6	9	10.816653826392
ARG1	0	0	0	0	0	0	0	0
ARG2	56	11	2	2	56	11	23	28.9309522829789
ARGFX	15	2	0	0	15	2	5.66666666666667	8.14452781524708
ARGFXP2	0	0	0	0	0	0	0	0
ARGLU1	401	89	27	27	401	89	172.333333333333	200.442843058397
ARHGAP1	365	62	35	35	365	62	154	183.229364458866
ARHGAP10	50	11	7	7	50	11	22.6666666666667	23.7557010701291
ARHGAP11A	42	13	4	4	42	13	19.6666666666667	19.8578280114753
ARHGAP11B	0	0	0	0	0	0	0	0
ARHGAP12	121	24	14	14	121	24	53	59.1016074231488
ARHGAP15	0	1	2	0	2	1	1	1
ARHGAP17	44	20	8	8	44	20	24	18.3303027798234
ARHGAP18	284	51	21	21	284	51	118.666666666667	143.966431272479
ARHGAP19	7	4	2	2	7	4	4.33333333333333	2.51661147842358
ARHGAP19-SLIT1	0	0	0	0	0	0	0	0
ARHGAP20	11	6	1	1	11	6	6	5
ARHGAP21	173	48	15	15	173	48	78.6666666666667	83.3446658961048
ARHGAP22	28	8	3	3	28	8	13	13.228756555323
ARHGAP23	39	8	2	2	39	8	16.3333333333333	19.8578280114753
ARHGAP24	126	19	8	8	126	19	51	65.1843539509291
ARHGAP25	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ARHGAP26	78	26	7	7	78	26	37	36.7559518989782
ARHGAP26-AS1	0	0	0	0	0	0	0	0
ARHGAP27	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ARHGAP28	14	4	3	3	14	4	7	6.08276253029822
ARHGAP29	517	97	33	33	517	97	215.666666666667	262.916970417152
ARHGAP30	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ARHGAP31	30	5	4	4	30	5	13	14.7309198626562
ARHGAP32	9	1	2	1	9	2	4	4.35889894354067
ARHGAP33	0	0	0	0	0	0	0	0
ARHGAP35	134	34	18	18	134	34	62	62.8649345820068
ARHGAP39	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ARHGAP4	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ARHGAP42	8	6	1	1	8	6	5	3.60555127546399
ARHGAP44	0	0	0	0	0	0	0	0
ARHGAP5	438	101	53	53	438	101	197.333333333333	209.800699077323
ARHGAP5-AS1	17	3	4	3	17	4	8	7.81024967590665
ARHGAP6	15	1	2	1	15	2	6	7.81024967590665
ARHGAP8	0	0	0	0	0	0	0	0
ARHGAP9	2	1	0	0	2	1	1	1
ARHGDIA	84	13	15	13	84	15	37.3333333333333	40.4268887416943
ARHGDIB	177	34	17	17	177	34	76	87.8806008172452
ARHGDIG	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ARHGEF1	7	1	0	0	7	1	2.66666666666667	3.78593889720018
ARHGEF10	51	12	7	7	51	12	23.3333333333333	24.0901086202062
ARHGEF10L	14	5	0	0	14	5	6.33333333333333	7.09459888459759
ARHGEF11	8	3	0	0	8	3	3.66666666666667	4.04145188432738
ARHGEF12	178	53	16	16	178	53	82.3333333333333	84.8901250637159
ARHGEF17	48	12	6	6	48	12	22	22.7156333832011
